Disaster Type,Severity,Area Size (sq km),Population Affected,Duration (days),Rice Supply (kg),Vegetables Supply (kg),Dry Food Supply (kg),Water Supply (liters)
Flood,4,1709,25705,20,189875.1901247237,106028.01185708655,74665.04605211697,2042194.038559574
Earthquake,4,2218,14705,24,151932.28778199377,64625.00211320394,55127.55375523834,1448019.780740167
Drought,5,1765,619,24,5946.01743309657,3067.533331368253,2412.287276343171,60433.65209810445
Storm,2,2615,6356,27,71651.70917440561,32860.17514523642,24454.13135744459,630876.8029829472
Storm,3,4856,26305,3,30128.581565483615,14575.60630881438,11250.118189831259,323828.69946858316
Flood,1,3422,16540,23,148090.75782842314,80757.18610679796,57328.756648764036,1329521.5505386782
Earthquake,4,4321,48175,11,199055.0477862159,97225.31082672278,81165.080066263,1828093.2598091424
Flood,2,4978,36539,25,355982.73632869316,182757.08582670876,143200.03605525038,3190052.043491639
Flood,3,1139,19748,28,242087.23235630064,105852.09255958964,75827.04718327112,2028288.3349246571
Storm,3,1597,42882,1,18627.2262919873,9344.611204792163,5878.227474812879,160893.4772891634
Earthquake,5,4082,12141,28,140811.39876319037,64273.753878625765,52032.25070942878,1337514.5296766215
Drought,3,4733,25279,10,94837.81896024426,54524.15290675513,37394.77981375404,899019.3968258051
Storm,4,3698,8891,2,6742.037954386742,3498.052640380118,2534.570886776299,64889.534940610865
Storm,5,1098,12677,24,120283.9285583432,58984.179586740145,47886.67701901557,1242210.2186847914
Drought,4,799,19959,18,152117.06552856107,68678.59518358846,55466.80268735307,1461332.7930878769
Earthquake,4,320,46640,16,306482.75507278525,141881.15344612845,113173.91870078708,2840098.2302010916
Storm,1,3578,47790,19,328165.3585515021,182219.6750086899,137007.06869441748,3368687.8405507435
Storm,4,1318,49638,20,420846.73395858455,210585.72686894063,146390.2483429438,3594928.7483461713
Drought,2,1449,22653,19,167303.28773476754,87975.9370475374,63043.66467677918,1565400.6120907213
Drought,4,2148,11756,22,102611.64618424141,55015.821378820416,42130.54576337669,987748.750018728
Drought,4,4273,17040,4,27254.17797802596,13464.783813666887,9647.925036868399,238917.95705303008
Earthquake,1,655,15507,15,88031.40154840896,44578.25005657959,36790.67385174565,805667.8917287039
Earthquake,5,3206,42420,26,466454.2913319589,199288.29321321636,167081.9446228234,4473253.220374439
Earthquake,4,1115,43309,24,387079.2391241323,214720.50576772995,162423.27890195083,3680733.1708472283
Flood,3,3257,19076,26,183044.64273364094,100587.64698174097,79780.37556307431,1868674.953338006
Flood,2,4702,18924,28,222444.38283682463,116566.574416691,83056.34230476349,1850809.57851737
Drought,1,3296,5290,24,45720.10739498658,25135.964099470264,20327.045402576645,487493.71992746904
Earthquake,1,2117,7136,17,49477.705759403434,24756.510320214897,16611.86148113353,502559.1652856653
Storm,5,1475,20593,4,31184.653070978642,17730.72965709296,11931.390846418586,287636.45830903924
Drought,4,4551,45871,16,311586.8418238812,136715.1693987966,99412.12753113145,2673893.2235520864
Storm,2,1712,18485,1,7367.233967122235,3699.3169503809077,2670.677210303955,73173.5170454584
Storm,1,4651,39391,14,236056.46909835679,111409.77676456448,88112.66651341504,2005298.6886986475
Flood,5,4697,48980,28,599221.7917092352,264021.1054652838,189178.266040406,5218741.447595592
Flood,3,3877,37955,3,45868.58715584107,24086.5445036417,18166.37793377868,470449.12498553126
Drought,5,4822,6558,18,49805.07808676272,21493.793404799344,15981.345563844898,473206.18234584614
Flood,2,3374,49124,4,79155.98608199198,42724.119475701125,30049.81804696394,789763.9166761531
Drought,2,811,41102,10,179723.2774276256,77522.79532795574,65489.105965284354,1461510.1352505113
Storm,4,1790,33451,16,229198.51078068223,104637.39605609438,77443.52200894998,2202100.7596681565
Flood,2,2204,48606,11,199297.60203689494,116942.6217055603,86852.47093780509,1888911.5054086982
Storm,2,1959,19756,14,103854.49982467742,54390.630027060484,41063.1931835248,1067600.7870841436
Storm,4,1913,26058,17,183921.53907375626,90412.39909972326,61228.37537348972,1679441.3408032448
Drought,1,3185,38115,7,97584.60573708915,57725.9894451724,43684.78299704121,924566.9172742763
Flood,4,2080,13458,13,67391.60984327478,33635.94781474472,24418.10363656424,630941.7658180124
Flood,5,2856,26808,22,227823.5962336851,112881.07993749462,88082.16684869978,2089719.0821979332
Storm,2,3237,23048,9,74837.8045132468,37961.07581996681,31336.711137731574,840788.7923991932
Earthquake,3,2327,36489,12,170180.69241208176,81432.92845693906,65811.36440126527,1644264.8327528324
Earthquake,5,1303,35333,17,259304.69293186927,127501.29674031826,81155.12110885764,2191682.9009967307
Storm,1,4040,41312,19,336504.3845108952,161031.84557992188,123928.70034879052,3128573.704299235
Storm,1,4333,15348,14,91990.81467510056,42828.856409487016,31689.778112761654,891017.295774397
Earthquake,4,2348,9368,15,54854.50412544957,29537.643579598804,21804.460900209193,535187.1689220109
Storm,4,4665,10067,27,102423.63661114617,55078.16463456417,41713.59728872545,934056.687830067
Flood,4,86,9059,26,90832.5230789301,43277.20675166041,34815.07508864794,825303.389071843
Earthquake,1,3158,11440,26,120625.83143315882,58092.758826622325,46910.94995274615,1082049.8112965084
Flood,1,151,17376,16,101130.30886880722,56340.75287409516,43898.40594761508,975789.6702054238
Flood,3,3384,45779,16,307794.68242244533,145724.39523713136,108699.97567656882,2499073.4676150433
Drought,4,2234,34978,11,154178.4337422057,74166.62817480006,63126.874100371846,1582448.009370287
Storm,4,1824,42801,1,18320.298600171664,8413.524421083157,5922.442058911262,148252.0572882793
Drought,1,949,22784,25,221167.71123367554,105546.17264834282,88383.96596614475,2159683.8535856656
Flood,1,3424,19610,29,226143.26121432806,105944.02582941044,77303.1940496616,2344882.6018899106
Earthquake,1,2719,21705,22,207373.3389304539,97025.01079019562,74019.35308937784,1956150.1341337943
Flood,1,740,16028,27,169363.3204385034,84278.41610321034,67380.44446395786,1601023.1189379035
Earthquake,3,2168,15322,12,76132.82569632433,34924.78583215678,24907.127062053918,649543.8087677306
Storm,2,2336,2910,21,22177.676707213453,13205.973945522113,8384.241556347883,249536.32308678544
Flood,4,3483,11414,9,42737.75412044661,20141.747573932713,14103.157377224596,406913.5098298526
Drought,1,4769,28167,19,221206.6462615271,102416.87666160338,81653.13643766945,2060781.7370494998
Drought,3,411,38479,16,248122.05493254657,127162.31400345918,97594.5373610902,2281262.369671511
Drought,1,4231,6549,25,67955.29140640254,34611.50977032791,26009.130092559964,574522.3794645002
Earthquake,5,4494,25292,3,30154.63187941824,14485.62037609974,11298.432821504006,309467.34579249565
Storm,1,1731,15804,16,91338.00069341395,48385.48098522564,37448.51401459574,982701.3959728312
Earthquake,3,4177,32261,2,24027.180760280025,12086.062121157025,9417.077972944202,240915.78812925788
Drought,5,4467,22720,1,8285.121188116502,4926.752695108007,3663.2026296992076,87217.93414443772
Earthquake,4,4824,33887,2,27912.59788583935,12249.088844686537,10479.204130876076,262608.5913491627
Earthquake,2,3013,29356,20,246872.4168344317,116304.10465037363,80021.5842351435,2137626.2816171315
Flood,5,4848,38740,6,83848.83523877812,43711.72829813645,38066.867383894685,899739.2577806496
Drought,2,114,40301,10,173503.40801220218,79246.49447273758,63115.396533227606,1653002.6504461172
Storm,3,3544,22328,20,188901.19758562677,85936.66136527105,64664.92366650335,1524856.9924898336
Flood,4,456,32976,29,381899.45324565703,202135.11696641258,145853.37855422872,3317324.8456979906
Flood,1,4674,5205,11,24057.796049209905,12393.626229921594,8681.21980449234,217886.79397967044
Earthquake,2,374,34668,7,101657.05304602027,51197.366860776325,37538.60143395436,913323.0242509977
Earthquake,4,3883,17670,15,111401.86596999335,50031.465352780884,39304.582374214486,1026852.625129999
Drought,3,4517,37698,21,341376.90524879034,151059.38497818212,126414.17185435469,3007406.7841612566
Earthquake,4,2642,23496,20,196610.35953530198,92309.823628004,72309.68049535369,1849548.6738273404
Flood,3,3390,28443,27,304619.61390882253,146293.99266062028,109244.70638785811,2896857.6993431114
Drought,3,796,248,27,2601.471262664973,1232.3178270493972,1097.1841093952203,26117.88008206912
Storm,4,934,9895,12,44026.39122093152,22868.398107849134,17759.339694214905,447453.36314667
Earthquake,2,3170,29481,26,332021.3427236959,141437.31112651838,120895.43658858823,3050666.388190706
Drought,3,3584,22311,9,75894.94534957802,39882.74289332206,28704.754199887204,795640.468088709
Earthquake,2,4464,22217,14,134743.73518728232,59636.542805688456,46568.867639053125,1162824.5386255288
Earthquake,4,1795,45898,24,476093.76027906314,236708.59445097257,151064.36276535963,4464781.212899196
Flood,4,4900,33192,25,305443.6584637805,149740.1514336434,125680.70239351396,3438159.695356457
Flood,3,374,19897,28,243885.48348546715,119430.6271776232,77049.43898171077,2297380.91750128
Storm,3,2265,30724,29,375262.10916999076,170525.506271396,144010.12413437388,3283287.2716017975
Flood,3,2943,49178,14,284314.2352150649,135882.1269422512,109871.50565487651,2817326.9431959353
Earthquake,4,635,28539,27,328283.83114538447,140425.64988639494,115123.11081456355,2937175.239942269
Flood,4,1190,24412,1,10415.54519219407,5301.707900116237,3755.8517429861477,90458.01922403504
Flood,4,2680,13117,16,91084.06096639867,44372.55823292631,30383.880132149414,844728.3707827695
Storm,5,1759,32642,22,263100.7517694791,130657.28228415897,106597.32902503625,2688547.512078622
Storm,5,4547,13191,2,9808.727560458308,4780.140081818969,3618.3428012109875,103048.65892779957
Flood,4,266,47442,1,19243.661279704404,8641.231165635785,6604.636620681568,183969.15926054295
Earthquake,1,4674,24084,16,147463.6635782212,83980.71772547925,61760.59466353345,1523394.5947724169
Drought,1,2850,356,10,1560.2100040131945,663.3732813255032,532.6615648275525,13108.41711850331
Storm,1,1985,3316,28,35601.08154284586,18099.93877728759,14400.641025375791,321345.95119974064
Storm,3,986,40213,5,87935.6257495793,40426.89248527264,28973.150985175464,740115.3372857441
Storm,5,3785,2521,16,16634.266697543364,7974.807855198709,6593.6245373058,144916.02666243628
Flood,1,3654,16242,19,115879.51503575577,58196.210974040536,48494.48539927908,1095423.5293206428
Storm,1,4342,12102,21,93132.03263726145,55837.75216217278,40283.417345332375,1043111.7390253729
